"pid","id"
ldpd:286771,NYDA.1960.001.02508
ldpd:286663,NYDA.1960.001.00090
ldpd:286704,NYDA.1960.001.00038
ldpd:286700,NYDA.1960.001.01489
ldpd:286731,NYDA.1960.001.01832
ldpd:286751,NYDA.1960.001.03710
ldpd:286728,NYDA.1960.001.02444
ldpd:286727,NYDA.1960.001.00134
ldpd:286712,NYDA.1960.001.00664
ldpd:286742,NYDA.1960.001.01014
ldpd:286733,NYDA.1960.001.00857
ldpd:286790,NYDA.1960.001.00493
ldpd:286740,NYDA.1960.001.01319
ldpd:286651,NYDA.1960.001.01349
ldpd:286662,NYDA.1960.001.01511
ldpd:286768,NYDA.1960.001.03409
ldpd:286609,NYDA.1960.001.00815A
ldpd:286758,NYDA.1960.001.00630
ldpd:286673,NYDA.1960.001.04338V
ldpd:286735,NYDA.1960.001.03994
ldpd:286754,NYDA.1960.001.01118
ldpd:286707,NYDA.1960.001.02573
ldpd:286686,NYDA.1960.001.01344
ldpd:286708,NYDA.1960.001.02136
ldpd:286645,NYDA.1960.001.04393
ldpd:286632,NYDA.1960.001.01589
ldpd:286702,NYDA.1960.001.01115
ldpd:286747,NYDA.1960.001.03069V
ldpd:286646,NYDA.1960.001.00252
ldpd:286666,NYDA.1960.001.03184
ldpd:286691,NYDA.1960.001.01844
ldpd:286773,NYDA.1960.001.04198
ldpd:286658,NYDA.1960.001.00461
ldpd:286639,NYDA.1960.001.01531
ldpd:286659,NYDA.1960.001.02576
ldpd:286756,NYDA.1960.001.01483
ldpd:286715,NYDA.1960.001.01153
ldpd:286767,NYDA.1960.001.02762
ldpd:286781,NYDA.1960.001.02517
ldpd:286763,NYDA.1960.001.04469
ldpd:286638,NYDA.1960.001.01944
ldpd:286660,NYDA.1960.001.00888
ldpd:286620,NYDA.1960.001.01816
ldpd:286745,NYDA.1960.001.01142A
ldpd:286675,NYDA.1960.001.01062
ldpd:286665,NYDA.1960.001.00842
ldpd:286657,NYDA.1987.003.00072
ldpd:286720,NYDA.1960.001.02635R
ldpd:286621,NYDA.1960.001.03962
ldpd:286764,NYDA.1960.001.01072
ldpd:286779,NYDA.1960.001.02629
ldpd:286761,NYDA.1960.001.01018
ldpd:286776,NYDA.1960.001.00497
ldpd:286719,NYDA.1960.001.02962
ldpd:286717,NYDA.1960.001.01668
ldpd:286794,NYDA.1960.001.01149
ldpd:286706,NYDA.1960.001.02862R
ldpd:286709,NYDA.1960.001.03058
ldpd:286697,NYDA.1987.003.00145
ldpd:286786,NYDA.1960.001.01406
ldpd:286703,NYDA.1960.001.03053
ldpd:286634,NYDA.1960.001.01694
ldpd:286711,NYDA.1960.001.03003
ldpd:286792,NYDA.1960.001.03922
ldpd:286669,NYDA.1960.001.00354
ldpd:286627,NYDA.1960.001.02382
ldpd:286710,NYDA.1960.001.03024
ldpd:286644,NYDA.1960.001.04247
ldpd:286734,NYDA.1960.001.04322R
ldpd:286772,NYDA.1960.001.04720
ldpd:286607,NYDA.1987.003.00120
ldpd:286752,NYDA.1960.001.00912
ldpd:286705,NYDA.1960.001.00678
ldpd:286770,NYDA.1960.001.03036
ldpd:286746,NYDA.1960.001.02530
ldpd:286738,NYDA.1960.001.00688
ldpd:286668,NYDA.1960.001.03224
ldpd:286737,NYDA.1960.001.00369
ldpd:286788,NYDA.1960.001.01685
ldpd:286722,NYDA.1960.001.00391
ldpd:286753,NYDA.1960.001.03071
ldpd:286762,NYDA.1960.001.01510
ldpd:286682,NYDA.1960.001.04155
ldpd:286613,NYDA.1960.001.00423
ldpd:286648,NYDA.1960.001.02549
ldpd:286766,NYDA.1960.001.01985
ldpd:286726,NYDA.1960.001.03748
ldpd:286637,NYDA.1960.001.00437
ldpd:286642,NYDA.1960.001.02631V
ldpd:286687,NYDA.1960.001.00406
ldpd:286619,NYDA.1960.001.00007
ldpd:286681,NYDA.1960.001.02226V
ldpd:286725,NYDA.1960.001.03829
ldpd:286640,NYDA.1960.001.02538
ldpd:286604,NYDA.1960.001.01860
ldpd:286784,NYDA.1960.001.02361
ldpd:286765,NYDA.1960.001.02168
ldpd:286614,NYDA.1960.001.01959
ldpd:286757,NYDA.1960.001.04731
ldpd:286683,NYDA.1960.001.02166
ldpd:286684,NYDA.1960.001.02370
ldpd:286689,NYDA.1960.001.03335
ldpd:286676,NYDA.1960.001.02282V
ldpd:286723,NYDA.1960.001.01401
ldpd:286729,NYDA.1960.001.01840
ldpd:286730,NYDA.1960.001.00756
ldpd:286748,NYDA.1960.001.02362
ldpd:286605,NYDA.1960.001.01625
ldpd:286603,NYDA.1960.001.02777R
ldpd:286617,NYDA.1960.001.00310
ldpd:286670,NYDA.1960.001.02628
ldpd:286626,NYDA.1960.001.01907
ldpd:286718,NYDA.1960.001.02272
ldpd:286608,NYDA.1987.003.00032
ldpd:286606,NYDA.1960.001.04236
ldpd:286749,NYDA.1987.003.00002
