pid,id
ldpd:145353,6_1_9
ldpd:145323,3338020501
ldpd:145399,3345010301
ldpd:145245,4_20_11
ldpd:145443,1_15_1
ldpd:145365,3424020301
ldpd:145295,3345010401
ldpd:145259,6_3_1
ldpd:145229,6_9_4
ldpd:145559,6_1_8
ldpd:145447,2_12_2
ldpd:145393,5_6_1
ldpd:145237,5_9_4
ldpd:145413,8_3_1
ldpd:145327,3424020101
ldpd:145263,3432010201
ldpd:145379,5_9_5
ldpd:145519,2_1_6
ldpd:145573,3338020101
ldpd:145357,5_8_6
ldpd:145441,4_20_10
ldpd:145517,6_1_5
ldpd:145235,3325020101
ldpd:145187,2_12_1
ldpd:145247,3427010701
ldpd:145563,4_20_8
ldpd:145455,1_11_2
ldpd:145215,3425010301
ldpd:145467,6_1_2
ldpd:145571,3_17_1
ldpd:145269,3359020201
ldpd:145513,3_8_1
ldpd:145219,3431020501
ldpd:145195,2_1_8
ldpd:145167,6_1_7
ldpd:145449,3346010501
ldpd:145303,2_2_1
ldpd:145221,3338020701
ldpd:145293,3424020801
ldpd:145557,3431021201
ldpd:145539,3_28_2
ldpd:145547,3423010101
ldpd:145461,3338021401
ldpd:145255,6_1_6
ldpd:145207,4_21_3
ldpd:145277,1_15_4
ldpd:145373,3346010401
ldpd:145575,3328020101
ldpd:145367,3338020401
ldpd:145431,4_20_14
ldpd:145567,5_6_2
ldpd:145435,8_9_1
ldpd:145335,3404010101
ldpd:145177,8_5_4
ldpd:145285,3431020101
ldpd:145387,7_13_1
ldpd:145343,5_9_3
ldpd:145213,3432010401
ldpd:145333,3341010101
ldpd:145153,3431021101
ldpd:145577,1_15_5
ldpd:145409,3338021201
ldpd:145381,5_9_8
ldpd:145189,3411010101
ldpd:145241,7_9_1
ldpd:145205,1_12_2
ldpd:145159,3428010101
ldpd:145561,1_11_1
ldpd:145425,3323010101
ldpd:145501,5_5_5
ldpd:145597,7_12_2
ldpd:145457,3346010301
ldpd:145169,1_9_4
ldpd:145163,2_6_5
ldpd:145165,3359020601
ldpd:145479,3345010601
ldpd:145533,3311060201
ldpd:145171,3331020101
ldpd:145173,7_1_2
ldpd:145179,3427010501
ldpd:145385,4_20_13
ldpd:145175,3338020301
ldpd:145183,6_1_17
ldpd:145181,3_8_2
ldpd:145149,4_20_9
ldpd:145151,6_1_3
ldpd:145155,5_8_7
ldpd:145157,1_9_2
ldpd:145161,7_5_1
ldpd:145233,6_9_5
ldpd:145301,3429030101
ldpd:145267,5_9_7
ldpd:145185,6_1_12
ldpd:145329,1_12_1
ldpd:145337,6_3_2
ldpd:145417,3427010601
ldpd:145191,8_1_3
ldpd:145193,8_5_5
ldpd:145199,8_5_3
ldpd:145197,3317020301
ldpd:145275,3425010101
ldpd:145585,2_1_5
ldpd:145549,3413010101
ldpd:145463,3345010201
ldpd:145311,3338021101
ldpd:145361,4_22_4
ldpd:145553,3411010201
ldpd:145587,3329010301
ldpd:145599,1_16_3
ldpd:145589,3432010101
ldpd:145583,2_1_7
ldpd:145595,3_12_2
ldpd:145581,4_21_4
ldpd:145593,2_6_2
ldpd:145591,3338020901
ldpd:145477,3308010101
ldpd:145363,7_7_1
ldpd:145529,3338020201
ldpd:145497,7_7_2
ldpd:145579,3307020201
ldpd:145265,5_9_1
ldpd:145359,3345010801
ldpd:145305,3311060401
ldpd:145545,5_5_6
ldpd:145481,3426050101
ldpd:145543,3424020501
ldpd:145515,4_21_2
ldpd:145487,6_9_1
ldpd:145339,4_22_1
ldpd:145537,3431021501
ldpd:145201,3321010101
ldpd:145401,7_1_1
ldpd:145315,3330010201
ldpd:145423,3345010101
ldpd:145415,4_20_17
ldpd:145555,4_22_2
ldpd:145371,1_9_3
ldpd:145261,2_1_9
ldpd:145309,3345010501
ldpd:145257,9_1_1
ldpd:145227,1_16_2
ldpd:145283,3_28_3
ldpd:145509,3427010401
